Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
38.5 s,384986898,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,4
38.5 s,384987102,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,5
38.5 s,384985734,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,6
38.5 s,384987351,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,7
38.5 s,384986413,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,8
38.5 s,384987946,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,9
38.5 s,384987515,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,10
174.8 s,1748412167,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,1
174.8 s,1748411395,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,2
174.8 s,1748411231,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,3
174.8 s,1748412354,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,4
